u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge,tunnel,access,ref
361003,2589568355,0,32004189,Avenue de l'Hippodrome,secondary,50,False,False,26.28,2,"LINESTRING (2.2559777 48.8583101, 2.2556226 48.8582744)",,,,,,
361003,358874150,0,"[32004189, 722476382]","[""Avenue de l'Hippodrome"", 'Route des Lacs à Passy']",secondary,50,False,True,350.255,2,"LINESTRING (2.2559777 48.8583101, 2.2567287 48.8583995, 2.2567646 48.8584041, 2.2571438 48.858446, 2.2574304 48.8584718, 2.257742 48.8584794, 2.2580938 48.858466, 2.2581606 48.8584616, 2.2587338 48.8584232, 2.2587838 48.858422, 2.258932 48.8584182, 2.2595226 48.8584218, 2.2595694 48.858422, 2.2601447 48.8584174, 2.260737 48.8583769)",,,,,,
361024,358905775,0,4430602,Route des Tribunes,unclassified,30,True,False,56.115,2,"LINESTRING (2.2325723 48.8637173, 2.2332908 48.8638941)",,,,,,
361024,356300472,0,"[810202377, 31823690]",Route des Tribunes,unclassified,30,False,True,201.05,3,"LINESTRING (2.2325723 48.8637173, 2.2324708 48.8636774, 2.232058 48.863484, 2.2317573 48.8633219, 2.2314888 48.8631456, 2.2309567 48.8627174, 2.2306891 48.862439, 2.2306833 48.8624307)",,,,,,
361027,358913441,0,4430593,Route de Sèvres à Neuilly,secondary,50,True,False,27.747999999999998,2,"LINESTRING (2.2383105 48.8622922, 2.238358 48.8623729, 2.2384318 48.8625285)",,,,,,
361027,1758970671,0,"[755492101, 968863575, 810202375]",Avenue de l'Hippodrome,secondary,50,False,True,638.2979999999999,"['2', '3']","LINESTRING (2.2383105 48.8622922, 2.2384552 48.8621772, 2.2384977 48.8621429, 2.2385608 48.8620902, 2.2387662 48.8619295, 2.2388777 48.8618538, 2.2408121 48.8605416, 2.2423694 48.8596333, 2.2433899 48.8591301, 2.2442094 48.8587923, 2.2447382 48.8586123, 2.2448738 48.8585667)",,,,,,
361027,27373463,0,1000505843,Route de Sèvres à Neuilly,unclassified,30,False,True,33.584,,"LINESTRING (2.2383105 48.8622922, 2.2382467 48.8622076, 2.2382228 48.8621728, 2.2382093 48.8621585, 2.2381054 48.8620221)",,,,,,
361031,26588378,0,4039212,Boulevard Morland,primary,30,True,False,102.698,2,"LINESTRING (2.365556 48.8474791, 2.3653966 48.8475483, 2.3653582 48.8475691, 2.3652148 48.8476649, 2.3651058 48.8477756, 2.3649623 48.8481371, 2.3649113 48.8482577)",,,,,,
361031,4603914571,0,4294237,Voie Mazas,secondary,50,True,False,26.378999999999998,2,"LINESTRING (2.365556 48.8474791, 2.3654425 48.8474289, 2.3653495 48.8473945, 2.3652706 48.8473376)",,,,,,
361031,247352879,0,"[22956648, 22956670, 22956671]",Pont Morland,primary,30,False,False,125.55799999999999,"['4', '3']","LINESTRING (2.365556 48.8474791, 2.3658167 48.847254, 2.3660289 48.8470984, 2.366178 48.8469718, 2.3664356 48.8467715, 2.3666168 48.8465932)",,,yes,,,
361032,26588347,0,4527593,Rue Bassompierre,residential,30,True,False,62.154,,"LINESTRING (2.3672854 48.8508902, 2.3671569 48.850916, 2.3665383 48.8510402, 2.3664729 48.8510533)",,,,,,
361032,26588366,0,56104231,Boulevard Bourdon,secondary,30,True,False,181.116,2,"LINESTRING (2.3672854 48.8508902, 2.3672615 48.8508388, 2.3666091 48.8494383, 2.3665903 48.8493979, 2.36656 48.8493329)",,,,,,
361036,26588388,0,"[45180810, 1164286366]",Boulevard de la Bastille,secondary,30,True,False,146.33800000000002,2,"LINESTRING (2.3679988 48.8487894, 2.3681012 48.8490125, 2.3682517 48.8493437, 2.3685676 48.8500511)",,,,,,
361041,25034117,0,2114249,Rue Monge,secondary,30,True,False,31.683999999999997,2,"LINESTRING (2.3507157 48.8385973, 2.3507282 48.8386615, 2.3507653 48.8387439, 2.3508181 48.8388736)",,,,,,
361041,2458010977,0,675813418,,tertiary_link,30,True,False,15.612000000000002,,"LINESTRING (2.3507157 48.8385973, 2.3505983 48.8386344, 2.3505189 48.8386505)",,,,,,
361042,21659628,0,4081713,Rue du Petit Moine,residential,30,True,False,67.466,,"LINESTRING (2.351 48.8380281, 2.3512212 48.8380801, 2.3517971 48.8382087, 2.3518716 48.8382256)",,,,,,
