osmid,y,x,street_count,highway,ref,geometry
7845845125,51.4643916,-0.1778301,1,,,POINT (-0.1778301 51.4643916)
7845845138,51.4646034,-0.179991,1,,,POINT (-0.179991 51.4646034)
7845950975,51.5020435,-0.3230914,4,,,POINT (-0.3230914 51.5020435)
7845976109,51.506129,-0.3200621,3,,,POINT (-0.3200621 51.506129)
7846159285,51.5601779,-0.4668051,1,,,POINT (-0.4668051 51.5601779)
7846278071,51.5605615,-0.06357,1,,,POINT (-0.06357 51.5605615)
7846308039,51.5607597,-0.0643009,1,,,POINT (-0.0643009 51.5607597)
7846489185,51.5451658,-0.4736848,1,,,POINT (-0.4736848 51.5451658)
7846603742,51.440295,0.1154867,1,,,POINT (0.1154867 51.440295)
7847808537,51.5285155,-0.088738,1,,,POINT (-0.088738 51.5285155)
7847962459,51.5512589,0.0195519,1,,,POINT (0.0195519 51.5512589)
7848095513,51.54837,0.0056511,1,,,POINT (0.0056511 51.54837)
7849422176,51.5453914,-0.2733504,3,,,POINT (-0.2733504 51.5453914)
7849919087,51.4417234,-0.1870432,1,,,POINT (-0.1870432 51.4417234)
7850272063,51.4484624,-0.2017438,1,,,POINT (-0.2017438 51.4484624)
7850280525,51.4531754,-0.2069852,3,,,POINT (-0.2069852 51.4531754)
7850347580,51.6036874,-0.1127386,1,,,POINT (-0.1127386 51.6036874)
7851458360,51.5592174,-0.06513,1,,,POINT (-0.06513 51.5592174)
7851458362,51.5588766,-0.0663371,1,,,POINT (-0.0663371 51.5588766)
7851464267,51.5554882,-0.0662073,1,,,POINT (-0.0662073 51.5554882)
7851494299,51.5264575,0.1257238,2,,,POINT (0.1257238 51.5264575)
7851787210,51.574545,0.0446542,2,,,POINT (0.0446542 51.574545)
7853813494,51.4380589,-0.1227394,1,,,POINT (-0.1227394 51.4380589)
7853827806,51.443374,-0.1204504,1,,,POINT (-0.1204504 51.443374)
7853829578,51.4387454,-0.1156234,1,,,POINT (-0.1156234 51.4387454)
7854724227,51.5479136,-0.4801653,1,turning_circle,,POINT (-0.4801653 51.5479136)
7855033161,51.5653289,-0.2562179,3,,,POINT (-0.2562179 51.5653289)
7855072190,51.5554946,-0.0663649,1,,,POINT (-0.0663649 51.5554946)
7855320683,51.4924669,-0.2630231,3,,,POINT (-0.2630231 51.4924669)
7855337705,51.4922092,-0.2628675,3,,,POINT (-0.2628675 51.4922092)
7856204461,51.3740579,-0.2364578,3,,,POINT (-0.2364578 51.3740579)
7856204462,51.3739845,-0.2366789,1,,,POINT (-0.2366789 51.3739845)
7856374636,51.5625886,-0.1446274,3,,,POINT (-0.1446274 51.5625886)
7856374637,51.5625369,-0.1443672,3,,,POINT (-0.1443672 51.5625369)
7857276310,51.455636,-0.1962435,3,,,POINT (-0.1962435 51.455636)
7857336252,51.5402497,-0.4679147,1,,,POINT (-0.4679147 51.5402497)
7857336256,51.5401194,-0.4686089,3,,,POINT (-0.4686089 51.5401194)
7857342823,51.5391302,-0.4704801,3,,,POINT (-0.4704801 51.5391302)
7857342865,51.539992,-0.4689568,1,,,POINT (-0.4689568 51.539992)
7857342868,51.5400362,-0.4684347,3,,,POINT (-0.4684347 51.5400362)
7857343171,51.5387783,-0.4692002,1,,,POINT (-0.4692002 51.5387783)
7857343173,51.5383537,-0.4692407,3,,,POINT (-0.4692407 51.5383537)
7857343221,51.540568,-0.4701213,3,,,POINT (-0.4701213 51.540568)
7857343222,51.5400879,-0.4701739,3,,,POINT (-0.4701739 51.5400879)
7857808498,51.4819986,-0.0407606,3,,,POINT (-0.0407606 51.4819986)
7857854861,51.5606856,-0.0469729,1,,,POINT (-0.0469729 51.5606856)
7857854862,51.5607078,-0.046902,1,,,POINT (-0.046902 51.5607078)
7858016913,51.6050754,-0.1220151,4,,,POINT (-0.1220151 51.6050754)
7858640177,51.4805926,-0.0397226,3,,,POINT (-0.0397226 51.4805926)
7859074289,51.4894547,-0.0390972,3,,,POINT (-0.0390972 51.4894547)
7859074292,51.4898521,-0.0382867,1,,,POINT (-0.0382867 51.4898521)
7859178502,51.4641723,-0.2201152,1,,,POINT (-0.2201152 51.4641723)
7862013127,51.4881515,-0.2045884,1,,,POINT (-0.2045884 51.4881515)
7862107940,51.5495615,0.010057,1,,,POINT (0.010057 51.5495615)
7862169882,51.5519222,0.0220659,1,,,POINT (0.0220659 51.5519222)
