u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
2706038476,2471735052,0,239379309,False,,海华一路,residential,True,169.484,"LINESTRING (113.8828612 22.5702048, 113.8816729 22.5691469)",,,,,,,
2706038476,10046346816,0,264955006,True,,翻身路,secondary,False,201.599,"LINESTRING (113.8828612 22.5702048, 113.8842209 22.5688969)",,,,,,,
2706038495,1169597264,0,580915661,True,,创业一路,primary,False,12.259,"LINESTRING (113.8895545 22.5636913, 113.8896424 22.5637659)",,,,,,,
2706038495,2706038578,0,264955006,True,,翻身路,secondary,False,259.375,"LINESTRING (113.8895545 22.5636913, 113.8905653 22.5627374, 113.891314 22.5620177)",,,,,,,
2706038499,2134332711,0,203424858,True,,新安五路,primary,False,10.411,"LINESTRING (113.8785051 22.5744485, 113.8785789 22.5745127)",,,,,,,
2706038499,6315483470,0,264955006,True,,翻身路,secondary,False,30.747,"LINESTRING (113.8785051 22.5744485, 113.8787112 22.5742479)",,,,,,,
2706038501,1169603319,0,239028323,False,,上川一路,secondary,False,11.097,"LINESTRING (113.8821986 22.5708527, 113.8822775 22.5709209)",,,,,,,
2706038501,2471735081,0,239028323,False,,上川一路,secondary,True,169.194,"LINESTRING (113.8821986 22.5708527, 113.8809974 22.5698111)",,,,,,,
2706038501,2706038476,0,264955006,True,,翻身路,secondary,False,99.091,"LINESTRING (113.8821986 22.5708527, 113.8828612 22.5702048)",,,,,,,
2706038509,2696871091,0,264011676,False,,,residential,True,96.547,"LINESTRING (113.8967704 22.5576258, 113.8960873 22.5570292)",,,,,,,
2706038509,2706038523,0,264955006,True,,翻身路,secondary,False,55.994,"LINESTRING (113.8967704 22.5576258, 113.8971871 22.557301)",,,,,,,
2706038517,2471737297,0,239379501,False,,,residential,True,149.541,"LINESTRING (113.8889006 22.5643472, 113.8878329 22.5634326)",,,,,,,
2706038517,2706038607,0,264955006,True,,翻身路,secondary,False,80.498,"LINESTRING (113.8889006 22.5643472, 113.8893505 22.5638916, 113.8894291 22.5638125)",,,,,,,
2706038523,2696871092,0,264011687,False,,,residential,True,147.086,"LINESTRING (113.8971871 22.557301, 113.8961523 22.5563864)",,,,,,,
2706038523,5594915631,0,264955006,True,,翻身路,secondary,False,37.345,"LINESTRING (113.8971871 22.557301, 113.8974654 22.5570848)",,,,,,,
2706038524,1169598346,0,226526595,False,,甲岸路,tertiary,False,13.007,"LINESTRING (113.8953653 22.5586381, 113.8954641 22.5587113)",,,,,,,
2706038524,2706038509,0,264955006,True,,翻身路,secondary,False,183.0,"LINESTRING (113.8953653 22.5586381, 113.8967704 22.5576258)",,,,,,,
2706038524,2696871088,0,226526595,False,,甲岸路,tertiary,True,72.747,"LINESTRING (113.8953653 22.5586381, 113.8952342 22.5585239, 113.8948453 22.5581938)",,,,,,,
2706038534,2471735072,0,101317166,True,,,secondary,False,173.065,"LINESTRING (113.8861656 22.5670021, 113.8849356 22.565938)",,,,,,,
2706038534,2706038602,0,264955006,True,,翻身路,secondary,False,11.913,"LINESTRING (113.8861656 22.5670021, 113.8862477 22.5669264)",,,,,,,
2706038548,2696866099,0,311100023,True,,新安一路,primary,False,10.569,"LINESTRING (113.8979352 22.5567168, 113.8980103 22.5567818)",,,,,,,
2706038548,5594915644,0,"[264955030, 264955006]",True,,翻身路,secondary,False,38.462,"LINESTRING (113.8979352 22.5567168, 113.8981055 22.5565832, 113.8982232 22.5564957)",,yes,,,,,
2706038566,2471735039,0,239303275,False,,翠竹路,residential,True,133.506,"LINESTRING (113.8879674 22.5652505, 113.8869926 22.564456)",,,,,,,
