Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
146,7,1,no_improving_swap,8.9648476,0.3973444,0.5796588,3.9496441,4.5293029,4.43224935580611,50.5229213266269,1470,134,2323.86763737923
147,8,1,no_improving_swap,10.244746,0.4481147,0.6024862,4.5376792,5.1401654,4.37409282767967,50.1736734126937,1680,106,2630.97356868549
148,10,1,no_improving_swap,12.6519742,0.570682,0.5925791,5.8106393,6.4032184,4.5106162167166,50.6104288451679,2100,117,2183.59621946526
149,12,1,no_improving_swap,14.6076718,0.6677152,0.5747681,6.6871143,7.2618824,4.57098988217958,49.7127981749973,2520,128,2136.764655019
150,9,1,no_improving_swap,11.5097812,0.5147562,0.5810251,5.2580048,5.8390299,4.47233697196607,50.7310243221652,1890,114,2313.97787789367
151,9,1,no_improving_swap,11.193384,0.5092046,0.5612664,5.095049,5.6563154,4.54915689482287,50.5326664393896,1890,117,2153.96716627953
152,11,1,no_improving_swap,13.7980641,0.6561095,0.597444,6.3278617,6.9253057,4.75508372221578,50.1904154800962,2310,113,2353.95213759484
153,10,1,no_improving_swap,12.4861415,0.5687721,0.5365476,5.8044694,6.341017,4.55522708916922,50.7844396925984,2100,117,2212.39399391971
154,9,1,no_improving_swap,11.0719517,0.5174039,0.5558089,4.9967405,5.5525494,4.67310474268055,50.1496895077676,1890,133,2189.16376157851
155,6,1,no_improving_swap,7.6635209,0.339818,0.547507,3.3864273,3.9339343,4.43422813657362,51.3332494467393,1260,120,2317.93268957471
156,10,1,no_improving_swap,12.4938323,0.5970543,0.5462551,5.6687243,6.2149794,4.77879233259758,49.7443798729394,2100,104,2164.45706574573
157,12,1,no_improving_swap,14.7372072,0.670923,0.542592,6.7536618,7.2962538,4.55257899882143,49.5090670910836,2520,142,2164.59299558183
158,5,1,no_improving_swap,6.6611672,0.2938242,0.557052,2.8721533,3.4292053,4.41100172354178,51.4805468326932,1050,115,2692.49720687503
159,10,1,no_improving_swap,12.6069075,0.5652413,0.5889836,5.7448229,6.3338065,4.48358409863799,50.2407628516351,2100,117,2181.27284521148
160,7,1,no_improving_swap,9.0683284,0.4149932,0.5519546,4.0724373,4.6243919,4.57629214222105,50.9949760972485,1470,101,2263.54847414016
161,8,1,no_improving_swap,10.1108078,0.4431698,0.6250268,4.4972238,5.1222506,4.38312950622996,50.6611410415694,1680,130,2144.69383612712
162,10,1,no_improving_swap,12.4487966,0.5514663,0.549222,5.7263243,6.2755463,4.42987637857301,50.4108670230824,2100,132,2154.56921533042
163,10,1,no_improving_swap,12.5030484,0.5787242,0.5873204,5.6121173,6.1994377,4.62866479825832,49.5834095947353,2100,129,2165.43732621258
