osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
1119008462,22.5305036,114.5019189,3,,,POINT (114.5019189 22.5305036),17,87,1787,22.5287073425,114.4985555125,0.3990352313390527
11133300555,22.5314956,113.8626422,3,,,POINT (113.8626422 22.5314956),18,12,1812,22.5325138535,113.8647605875,0.24527099382876863
5219360229,22.5310564,113.8798579,3,,,POINT (113.8798579 22.5310564),18,14,1814,22.5325138535,113.8816617855,0.24614947307703525
7223735944,22.5323047,113.8900792,3,,,POINT (113.8900792 22.5323047),18,15,1815,22.5325138535,113.8901123845,0.023505221006157685
5369959803,22.5315555,113.8968635,3,,,POINT (113.8968635 22.5315555),18,16,1816,22.5325138535,113.8985629835,0.20450707563031073
9197027679,22.5312735,113.9070445,4,,,POINT (113.9070445 22.5312735),18,17,1817,22.5325138535,113.9070135825,0.13795756674675164
2403189515,22.5330205,113.9158963,3,,,POINT (113.9158963 22.5330205),18,18,1818,22.5325138535,113.9154641815,0.07171823416048552
2407748586,22.532701,113.9240145,3,,,POINT (113.9240145 22.532701),18,19,1819,22.5325138535,113.9239147805,0.023193546603329066
2623164374,22.5331814,113.9324824,3,,,POINT (113.9324824 22.5331814),18,20,1820,22.5325138535,113.9323653795,0.07519450856703551
9128520931,22.5326157,113.941076,4,,,POINT (113.941076 22.5326157),18,21,1821,22.5325138535,113.9408159785,0.029007871710665857
8906314721,22.5323763,113.9497499,3,,,POINT (113.9497499 22.5323763),18,22,1822,22.5325138535,113.9492665775,0.05194338533812274
2531930238,22.5330302,113.9576416,1,,,POINT (113.9576416 22.5330302),18,23,1823,22.5325138535,113.9577171765,0.05793743646781522
6261201147,22.5321977,113.9662594,3,,,POINT (113.9662594 22.5321977),18,24,1824,22.5325138535,113.9661677755,0.036392403150938
5858750513,22.5339552,113.975918,1,,,POINT (113.975918 22.5339552),18,25,1825,22.5325138535,113.97461837450001,0.20857455781113102
3851543247,22.5332252,113.9919408,3,,,POINT (113.9919408 22.5332252),18,27,1827,22.5325138535,113.99151957250001,0.09015639317227726
4853113949,22.5329461,114.0031573,3,,,POINT (114.0031573 22.5329461),18,28,1828,22.5325138535,113.99997017150001,0.33084828101448216
5281990501,22.5338873,114.0107086,3,,,POINT (114.0107086 22.5338873),18,29,1829,22.5325138535,114.00842077050001,0.28024315268972866
6003859397,22.5326956,114.0161634,3,,,POINT (114.0161634 22.5326956),18,30,1830,22.5325138535,114.01687136950001,0.07546922756370468
8869144268,22.5327591,114.0253058,3,,,POINT (114.0253058 22.5327591),18,31,1831,22.5325138535,114.02532196850001,0.027320680972995504
9706857112,22.5310065,114.0351308,1,,,POINT (114.0351308 22.5310065),18,32,1832,22.5325138535,114.03377256750001,0.2180674705867827
1491845309,22.531452,114.0424868,3,,,POINT (114.0424868 22.531452),18,33,1833,22.5325138535,114.04222316650001,0.12113765389605945
1114538647,22.5319339,114.0501083,3,,,POINT (114.0501083 22.5319339),18,34,1834,22.5325138535,114.05067376550001,0.08678502795100905
