osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
297120990,22.4894419,113.9143614,3,,,POINT (113.9143614 22.4894419),7,18,718
297121024,22.5470592,114.0785962,3,,,POINT (114.0785962 22.5470592),22,37,2237
297121027,22.5470632,114.0792254,3,,,POINT (114.0792254 22.5470632),22,37,2237
297121592,22.5178577,113.9220025,4,,,POINT (113.9220025 22.5178577),14,19,1419
297134377,22.5374461,114.0881992,3,,,POINT (114.0881992 22.5374461),19,38,1938
297383406,22.5657402,114.0390344,3,,,POINT (114.0390344 22.5657402),27,33,2733
297383885,22.5672766,114.0510343,3,,,POINT (114.0510343 22.5672766),27,34,2734
310170186,22.5271703,114.0415258,3,,,POINT (114.0415258 22.5271703),17,33,1733
310170187,22.5271607,114.0408657,4,,,POINT (114.0408657 22.5271607),17,33,1733
310170560,22.5249453,113.9332509,3,,,POINT (113.9332509 22.5249453),16,20,1620
310170646,22.4976434,113.9273843,3,,,POINT (113.9273843 22.4976434),9,19,919
310170659,22.4964399,113.9253774,3,,,POINT (113.9253774 22.4964399),9,19,919
310170717,22.5602263,113.8728934,4,,,POINT (113.8728934 22.5602263),25,13,2513
310170724,22.5633138,113.8764654,4,,,POINT (113.8764654 22.5633138),26,13,2613
312923175,22.5903708,113.8926971,4,,,POINT (113.8926971 22.5903708),33,15,3315
312923693,22.5844752,113.88136,4,,,POINT (113.88136 22.5844752),32,14,3214
349237339,22.5530923,114.1042238,4,,,POINT (114.1042238 22.5530923),23,40,2340
349237387,22.5557776,114.1081022,3,,,POINT (114.1081022 22.5557776),24,41,2441
349237453,22.5559045,114.1079605,3,,,POINT (114.1079605 22.5559045),24,41,2441
349237484,22.5519837,114.1004924,3,,,POINT (114.1004924 22.5519837),23,40,2340
349237516,22.5501124,114.1004156,3,,,POINT (114.1004156 22.5501124),23,40,2340
349237518,22.5556915,114.1025452,3,,,POINT (114.1025452 22.5556915),24,40,2440
349237519,22.5551124,114.1006107,3,,,POINT (114.1006107 22.5551124),24,40,2440
352965588,22.5662633,114.0945204,4,,,POINT (114.0945204 22.5662633),27,39,2739
352965610,22.5646796,114.0945546,4,,,POINT (114.0945546 22.5646796),26,39,2639
352965781,22.5273745,114.0385653,4,,traffic_signals,POINT (114.0385653 22.5273745),17,33,1733
352965797,22.5254015,114.0387881,4,,,POINT (114.0387881 22.5254015),16,33,1633
409381098,22.5672367,114.0568159,3,,,POINT (114.0568159 22.5672367),27,35,2735
409391960,22.5184954,114.0551493,3,,,POINT (114.0551493 22.5184954),14,35,1435
409391961,22.5195872,114.058361,3,,,POINT (114.058361 22.5195872),15,35,1535
409391968,22.5184802,114.058956,3,,,POINT (114.058956 22.5184802),14,35,1435
409391970,22.5178725,114.0593271,3,,,POINT (114.0593271 22.5178725),14,35,1435
409391983,22.5179267,114.0580905,3,,,POINT (114.0580905 22.5179267),14,35,1435
409392019,22.5318565,114.0613304,3,,,POINT (114.0613304 22.5318565),18,35,1835
496532788,22.5233722,113.9838525,3,,motorway_junction,POINT (113.9838525 22.5233722),16,26,1626
496532792,22.5233364,113.9816226,3,,,POINT (113.9816226 22.5233364),16,26,1626
496532793,22.5302353,113.9934075,3,,,POINT (113.9934075 22.5302353),17,27,1727
496532806,22.5271274,113.9929481,3,,,POINT (113.9929481 22.5271274),17,27,1727
496532810,22.5263743,113.99167,3,,,POINT (113.99167 22.5263743),16,27,1627
496532821,22.5286799,113.9954478,3,,,POINT (113.9954478 22.5286799),17,27,1727
496532836,22.5301848,113.993588,3,,,POINT (113.993588 22.5301848),17,27,1727
496532859,22.5250961,113.9908814,3,,,POINT (113.9908814 22.5250961),16,27,1627
496532867,22.5268054,113.9938913,3,,,POINT (113.9938913 22.5268054),17,27,1727
496532959,22.5253362,113.9895678,3,,,POINT (113.9895678 22.5253362),16,27,1627
496532993,22.5229673,113.9823625,3,,,POINT (113.9823625 22.5229673),15,26,1526
498489656,22.5307911,114.013491,3,,,POINT (114.013491 22.5307911),18,30,1830
498489666,22.5299744,114.0096796,3,,,POINT (114.0096796 22.5299744),17,29,1729
498489686,22.5304102,114.0024377,3,,,POINT (114.0024377 22.5304102),17,28,1728
498489699,22.5297139,114.0097378,3,,,POINT (114.0097378 22.5297139),17,29,1729
498491704,22.5305554,114.0124529,3,,motorway_junction,POINT (114.0124529 22.5305554),17,29,1729
498491723,22.5313862,114.0164887,3,,,POINT (114.0164887 22.5313862),18,30,1830
498491733,22.5319251,114.0151616,3,,,POINT (114.0151616 22.5319251),18,30,1830
498491735,22.5332197,114.0119804,4,,,POINT (114.0119804 22.5332197),18,29,1829
498491736,22.5323075,114.0128856,3,,,POINT (114.0128856 22.5323075),18,30,1830
498491761,22.5340401,114.0154104,3,,,POINT (114.0154104 22.5340401),18,30,1830
498491817,22.52834,114.0163789,3,2274,motorway_junction,POINT (114.0163789 22.52834),17,30,1730
