osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
6181173442,40.7717118,-73.8781526,,,3,POINT (-73.8781526 40.7717118),66,67,6667,40.7737762305,-73.880661965,0.3120048962620596
6620552689,40.7734423,-73.8758789,,,1,POINT (-73.8758789 40.7734423),66,68,6668,40.7737762305,-73.87511768300001,0.07407812843081613
6064029271,40.771907,-73.8695846,,,3,POINT (-73.8695846 40.771907),66,69,6669,40.7737762305,-73.86957340100001,0.2078510877176923
42811417,40.7738037,-73.8464636,,,4,POINT (-73.8464636 40.7738037),66,73,6673,40.7737762305,-73.847396273,0.0785971915369687
42861309,40.774305,-73.841838,,,3,POINT (-73.841838 40.774305),66,74,6674,40.7737762305,-73.84185199100001,0.05880828810471502
42833175,40.7727919,-73.8371403,,traffic_signals,4,POINT (-73.8371403 40.7727919),66,75,6675,40.7737762305,-73.83630770900001,0.1299822133097865
42789067,40.7736668,-73.8306293,,,3,POINT (-73.8306293 40.7736668),66,76,6676,40.7737762305,-73.83076342700001,0.01660205534670223
42811299,40.773774,-73.824677,,,3,POINT (-73.824677 40.773774),66,77,6677,40.7737762305,-73.825219145,0.04565321693681327
42811305,40.773781,-73.8196506,,,4,POINT (-73.8196506 40.773781),66,78,6678,40.7737762305,-73.819674863,0.002110830786675444
42810137,40.7735284,-73.8138376,,,4,POINT (-73.8138376 40.7735284),66,79,6679,40.7737762305,-73.814130581,0.036987595393644226
42817205,40.77393,-73.809745,,stop,4,POINT (-73.809745 40.77393),66,80,6680,40.7737762305,-73.80858629900001,0.09905775555471123
42811911,40.77419,-73.803985,,,4,POINT (-73.803985 40.77419),66,81,6681,40.7737762305,-73.80304201700001,0.0917720526535256
42864373,40.773684,-73.7975957,,,4,POINT (-73.7975957 40.773684),66,82,6682,40.7737762305,-73.79749773500001,0.01316163680958565
11206994906,40.7740069,-73.7922495,,,3,POINT (-73.7922495 40.7740069),66,83,6683,40.7737762305,-73.791953453,0.03576805243567529
42832880,40.77415,-73.78578,,,3,POINT (-73.78578 40.77415),66,84,6684,40.7737762305,-73.786409171,0.06733709827806036
42867105,40.7733763,-73.7810301,,,3,POINT (-73.7810301 40.7733763),66,85,6685,40.7737762305,-73.780864889,0.04659556211901557
42835932,40.773673,-73.774814,,traffic_signals,3,POINT (-73.774814 40.773673),66,86,6686,40.7737762305,-73.77532060700001,0.04417734581795497
42892790,40.773698,-73.770264,,,3,POINT (-73.770264 40.773698),66,87,6687,40.7737762305,-73.76977632500001,0.041977010898185195
467715961,40.7717259,-73.7639574,,turning_circle,1,POINT (-73.7639574 40.7717259),66,88,6688,40.7737762305,-73.764232043,0.2291563813749558
42938785,40.773419,-73.75275,,,1,POINT (-73.75275 40.773419),66,90,6690,40.7737762305,-73.753143479,0.05172725027369482
42788533,40.774144,-73.747553,,,4,POINT (-73.747553 40.774144),66,91,6691,40.7737762305,-73.747599197,0.04107871219122735
10101380437,40.7737808,-73.74194,,,3,POINT (-73.74194 40.7737808),66,92,6692,40.7737762305,-73.74205491500001,0.009690007089694905
42855910,40.774004,-73.737134,,,4,POINT (-73.737134 40.774004),66,93,6693,40.7737762305,-73.73651063300001,0.058282506824843476
