osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index
4625642913,40.6896321,-73.9803926,,,2,POINT (-73.9803926 40.6896321),46,49,4649
4625676872,40.7022444,-73.9928004,,,3,POINT (-73.9928004 40.7022444),49,47,4947
4626417357,40.6319937,-74.143354,,,3,POINT (-74.143354 40.6319937),32,20,3220
4626447043,40.716598,-73.7469836,,,3,POINT (-73.7469836 40.716598),52,91,5291
4626447044,40.7163002,-73.7479591,,turning_circle,1,POINT (-73.7479591 40.7163002),52,91,5291
4629486879,40.7234955,-74.0077224,,,3,POINT (-74.0077224 40.7234955),54,44,5444
4633522237,40.6432466,-74.1859829,,,1,POINT (-74.1859829 40.6432466),34,12,3412
4635180144,40.8452115,-73.9117017,2A,motorway_junction,3,POINT (-73.9117017 40.8452115),83,61,8361
4639095742,40.8459701,-73.8400168,,,3,POINT (-73.8400168 40.8459701),83,74,8374
4639095744,40.8460885,-73.8399127,,,3,POINT (-73.8399127 40.8460885),83,74,8374
4639095748,40.8459319,-73.8397248,,,3,POINT (-73.8397248 40.8459319),83,74,8374
4639095749,40.8458038,-73.8396483,,,3,POINT (-73.8396483 40.8458038),83,74,8374
4639095755,40.8458757,-73.8399334,,,3,POINT (-73.8399334 40.8458757),83,74,8374
4639095756,40.8458692,-73.8398316,,,3,POINT (-73.8398316 40.8458692),83,74,8374
4643580006,40.5778764,-73.9435061,,traffic_signals,3,POINT (-73.9435061 40.5778764),19,56,1956
4643580007,40.5774611,-73.9472685,,traffic_signals,4,POINT (-73.9472685 40.5774611),19,55,1955
4643580010,40.5751784,-73.9468388,,,1,POINT (-73.9468388 40.5751784),18,55,1855
4646445703,40.7578191,-73.752881,,,3,POINT (-73.752881 40.7578191),62,90,6290
4646445705,40.7580537,-73.7527281,,,3,POINT (-73.7527281 40.7580537),62,90,6290
4646445706,40.7581951,-73.7530817,,,3,POINT (-73.7530817 40.7581951),62,90,6290
4655051006,40.704409,-73.904865,,traffic_signals,4,POINT (-73.904865 40.704409),49,63,4963
4656655851,40.7179357,-73.8727306,,,3,POINT (-73.8727306 40.7179357),53,68,5368
4660170670,40.7325692,-73.9520892,,traffic_signals,4,POINT (-73.9520892 40.7325692),56,54,5654
4660170671,40.7339848,-73.9523243,,traffic_signals,4,POINT (-73.9523243 40.7339848),56,54,5654
