Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
2476,51.591230056,0.11672863199999994,51.591230056,0.12497281399999995,51.587298275,0.11672863199999994,51.587298275,0.12497281399999995
2477,51.591230056,0.12497281399999993,51.591230056,0.13321699599999992,51.587298275,0.12497281399999993,51.587298275,0.13321699599999992
2478,51.591230056,0.13321699599999992,51.591230056,0.1414611779999999,51.587298275,0.13321699599999992,51.587298275,0.1414611779999999
2479,51.591230056,0.1414611779999999,51.591230056,0.1497053599999999,51.587298275,0.1414611779999999,51.587298275,0.1497053599999999
2480,51.591230056,0.14970536,51.591230056,0.157949542,51.587298275,0.14970536,51.587298275,0.157949542
2481,51.591230056,0.157949542,51.591230056,0.166193724,51.587298275,0.157949542,51.587298275,0.166193724
2482,51.591230056,0.166193724,51.591230056,0.17443790599999998,51.587298275,0.166193724,51.587298275,0.17443790599999998
2483,51.591230056,0.17443790599999998,51.591230056,0.18268208799999996,51.587298275,0.17443790599999998,51.587298275,0.18268208799999996
2484,51.591230056,0.18268208799999996,51.591230056,0.19092626999999995,51.587298275,0.18268208799999996,51.587298275,0.19092626999999995
2485,51.591230056,0.19092626999999995,51.591230056,0.19917045199999994,51.587298275,0.19092626999999995,51.587298275,0.19917045199999994
2486,51.591230056,0.19917045199999994,51.591230056,0.20741463399999993,51.587298275,0.19917045199999994,51.587298275,0.20741463399999993
2487,51.591230056,0.20741463399999993,51.591230056,0.21565881599999992,51.587298275,0.20741463399999993,51.587298275,0.21565881599999992
2488,51.591230056,0.21565881599999992,51.591230056,0.2239029979999999,51.587298275,0.21565881599999992,51.587298275,0.2239029979999999
2489,51.591230056,0.2239029979999999,51.591230056,0.2321471799999999,51.587298275,0.2239029979999999,51.587298275,0.2321471799999999
2490,51.591230056,0.2321471799999999,51.591230056,0.2403913619999999,51.587298275,0.2321471799999999,51.587298275,0.2403913619999999
2491,51.591230056,0.240391362,51.591230056,0.24863554399999999,51.587298275,0.240391362,51.587298275,0.24863554399999999
2492,51.591230056,0.24863554399999999,51.591230056,0.256879726,51.587298275,0.24863554399999999,51.587298275,0.256879726
2493,51.591230056,0.256879726,51.591230056,0.26512390799999996,51.587298275,0.256879726,51.587298275,0.26512390799999996
2494,51.591230056,0.26512390799999996,51.591230056,0.27336808999999995,51.587298275,0.26512390799999996,51.587298275,0.27336808999999995
2495,51.591230056,0.27336808999999995,51.591230056,0.28161227199999994,51.587298275,0.27336808999999995,51.587298275,0.28161227199999994
2496,51.591230056,0.28161227199999994,51.591230056,0.28985645399999993,51.587298275,0.28161227199999994,51.587298275,0.28985645399999993
2497,51.591230056,0.28985645399999993,51.591230056,0.2981006359999999,51.587298275,0.28985645399999993,51.587298275,0.2981006359999999
2498,51.591230056,0.2981006359999999,51.591230056,0.3063448179999999,51.587298275,0.2981006359999999,51.587298275,0.3063448179999999
2499,51.591230056,0.3063448179999999,51.591230056,0.3145889999999999,51.587298275,0.3063448179999999,51.587298275,0.3145889999999999
2500,51.587298275,-0.5098292,51.587298275,-0.501585018,51.583366494,-0.5098292,51.583366494,-0.501585018
2501,51.587298275,-0.501585018,51.587298275,-0.493340836,51.583366494,-0.501585018,51.583366494,-0.493340836
2502,51.587298275,-0.493340836,51.587298275,-0.485096654,51.583366494,-0.493340836,51.583366494,-0.485096654
2503,51.587298275,-0.48509665399999996,51.587298275,-0.47685247199999997,51.583366494,-0.48509665399999996,51.583366494,-0.47685247199999997
2504,51.587298275,-0.47685247199999997,51.587298275,-0.46860829,51.583366494,-0.47685247199999997,51.583366494,-0.46860829
2505,51.587298275,-0.46860829,51.587298275,-0.460364108,51.583366494,-0.46860829,51.583366494,-0.460364108
2506,51.587298275,-0.460364108,51.587298275,-0.452119926,51.583366494,-0.460364108,51.583366494,-0.452119926
2507,51.587298275,-0.452119926,51.587298275,-0.443875744,51.583366494,-0.452119926,51.583366494,-0.443875744
2508,51.587298275,-0.44387574399999996,51.587298275,-0.43563156199999997,51.583366494,-0.44387574399999996,51.583366494,-0.43563156199999997
2509,51.587298275,-0.43563156199999997,51.587298275,-0.42738738,51.583366494,-0.43563156199999997,51.583366494,-0.42738738
2510,51.587298275,-0.42738738,51.587298275,-0.419143198,51.583366494,-0.42738738,51.583366494,-0.419143198
2511,51.587298275,-0.419143198,51.587298275,-0.410899016,51.583366494,-0.419143198,51.583366494,-0.410899016
2512,51.587298275,-0.410899016,51.587298275,-0.402654834,51.583366494,-0.410899016,51.583366494,-0.402654834
2513,51.587298275,-0.402654834,51.587298275,-0.39441065200000003,51.583366494,-0.402654834,51.583366494,-0.39441065200000003
2514,51.587298275,-0.39441065200000003,51.587298275,-0.38616647000000004,51.583366494,-0.39441065200000003,51.583366494,-0.38616647000000004
2515,51.587298275,-0.38616647,51.587298275,-0.377922288,51.583366494,-0.38616647,51.583366494,-0.377922288
2516,51.587298275,-0.377922288,51.587298275,-0.369678106,51.583366494,-0.377922288,51.583366494,-0.369678106
2517,51.587298275,-0.369678106,51.587298275,-0.361433924,51.583366494,-0.369678106,51.583366494,-0.361433924
2518,51.587298275,-0.36143392399999996,51.587298275,-0.353189742,51.583366494,-0.36143392399999996,51.583366494,-0.353189742
2519,51.587298275,-0.353189742,51.587298275,-0.34494556,51.583366494,-0.353189742,51.583366494,-0.34494556
2520,51.587298275,-0.34494556,51.587298275,-0.336701378,51.583366494,-0.34494556,51.583366494,-0.336701378
2521,51.587298275,-0.336701378,51.587298275,-0.328457196,51.583366494,-0.336701378,51.583366494,-0.328457196
2522,51.587298275,-0.328457196,51.587298275,-0.320213014,51.583366494,-0.328457196,51.583366494,-0.320213014
2523,51.587298275,-0.320213014,51.587298275,-0.31196883200000003,51.583366494,-0.320213014,51.583366494,-0.31196883200000003
2524,51.587298275,-0.31196883200000003,51.587298275,-0.30372465000000004,51.583366494,-0.31196883200000003,51.583366494,-0.30372465000000004
2525,51.587298275,-0.30372465000000004,51.587298275,-0.29548046800000005,51.583366494,-0.30372465000000004,51.583366494,-0.29548046800000005
2526,51.587298275,-0.295480468,51.587298275,-0.287236286,51.583366494,-0.295480468,51.583366494,-0.287236286
2527,51.587298275,-0.287236286,51.587298275,-0.278992104,51.583366494,-0.287236286,51.583366494,-0.278992104
